Date,Open,High,Low,Close,Volume,Adj Close
2014-01-06,91.06,91.09,88.81,91.07,790800,89.49377
2013-12-30,94.26,94.29,91.91,92.04,658900,90.44698
2013-12-23,92.57,94.83,91.68,94.07,457400,92.44184
2013-12-16,88.72,91.78,87.76,91.48,846500,89.89668
2013-12-09,92.41,92.85,87.82,88.10,1074100,86.57517
2013-12-02,93.59,94.23,90.82,91.45,623500,89.86719
2013-11-25,92.14,94.09,91.63,93.38,715500,91.76378
2013-11-18,89.44,91.84,88.29,91.72,1215200,90.13251
2013-11-11,87.66,89.93,86.11,89.93,2008500,88.3735
2013-11-04,92.18,92.41,86.34,87.37,1041700,85.85781
2013-10-28,93.96,95.05,92.39,92.65,694800,91.04642
2013-10-21,92.05,94.58,92.05,94.31,1158200,92.67769
2013-10-14,97.10,97.50,91.22,92.84,1902500,91.23312
2013-10-07,98.93,100.11,94.10,97.88,1033800,96.1859
2013-09-30,98.70,101.85,98.46,100.96,792400,99.21259
2013-09-23,97.23,98.48,95.80,98.45,584700,96.74603
2013-09-16,93.60,97.86,92.02,97.47,664400,95.783
2013-09-09,89.07,94.01,88.59,92.94,704600,91.33141
2013-09-03,87.99,90.16,87.63,88.77,1246200,87.23357
2013-08-26,91.13,91.32,86.83,87.06,1061800,85.55317
2013-08-19,91.59,92.17,89.71,90.83,568500,89.25792
2013-08-12,90.85,93.50,90.81,91.40,640300,89.81805
2013-08-05,91.15,92.32,90.70,91.48,732000,89.89668
2013-07-29,89.84,91.99,88.62,91.93,860900,90.33888
2013-07-22,88.54,89.68,87.77,89.18,1023200,87.63648
2013-07-15,87.93,90.83,86.07,89.05,1599200,87.50873
2013-07-08,83.23,87.79,81.04,87.15,1121500,85.64162
2013-07-01,79.71,82.36,78.15,82.10,822200,80.67902
2013-06-24,73.95,79.84,73.89,79.11,979700,77.74077
2013-06-17,80.45,81.83,76.09,76.42,884600,75.09733
2013-06-10,80.73,81.10,78.39,79.77,987800,78.38934
2013-06-03,82.54,83.49,77.53,80.59,4595800,79.19515
2013-05-28,83.18,84.58,81.21,81.27,3309200,79.86338
2013-05-20,79.60,81.69,79.48,81.30,1579500,79.89287
2013-05-13,77.84,78.98,77.26,78.97,1210400,77.6032
2013-05-06,76.76,78.41,76.17,78.31,1146300,76.95461
2013-04-29,74.32,77.86,73.68,77.50,1280600,76.15864
2013-04-22,71.51,75.81,70.60,73.72,1390100,72.44406
2013-04-15,68.23,72.64,66.40,71.99,2847700,70.07619
2013-04-08,66.64,70.20,65.81,69.11,1743500,67.27276
2013-04-01,67.89,68.45,65.06,66.71,1674800,64.93656
2013-03-25,68.56,69.37,64.93,67.99,2370200,66.18253
2013-03-18,69.94,70.60,67.93,68.32,1452200,66.50376
2013-03-11,69.36,71.90,69.23,70.82,1888000,68.93729
2013-03-04,71.26,73.24,69.42,69.73,1646900,67.87628
2013-02-25,72.75,72.96,69.67,71.63,1713700,69.72576
2013-02-19,73.83,74.37,70.36,71.65,1128000,69.74523
2013-02-11,74.88,75.45,72.51,72.64,1110900,70.70892
2013-02-04,76.96,77.66,74.44,74.78,1986000,72.79202
2013-01-28,76.21,78.30,74.59,78.21,2503600,76.13084
2013-01-22,69.76,74.24,68.51,74.04,2255800,72.0717
2013-01-14,65.20,69.62,62.72,69.17,3083000,67.33116
2013-01-07,63.35,65.76,62.80,65.42,1458700,63.68085
2012-12-31,63.17,66.78,63.09,64.71,2107700,62.98973
2012-12-24,63.58,63.87,62.56,63.13,777100,61.45173
2012-12-17,64.00,64.97,62.95,63.44,2097300,61.75349
2012-12-10,63.13,64.37,62.42,63.64,2122500,61.94817
2012-12-03,63.02,63.52,60.90,63.50,2798100,61.81189
2012-11-26,58.27,63.40,57.31,62.57,2431700,60.90662
2012-11-19,55.20,58.05,54.83,57.53,1742000,44.78158
2012-11-12,55.50,56.08,53.35,54.91,2645700,42.74216
2012-11-05,55.76,57.54,54.67,55.38,2218400,43.10801
2012-10-31,55.67,57.17,54.56,56.30,4383000,43.82414
2012-10-22,53.78,55.02,52.19,54.35,6390100,42.30625
2012-10-15,52.46,54.11,48.73,52.18,11683300,40.61712
2012-10-08,55.56,55.60,52.84,52.99,2429300,41.24763
2012-10-01,53.83,56.92,53.10,56.11,2280200,43.67625
2012-09-24,52.96,54.43,51.83,53.68,2852800,41.78473
2012-09-17,57.55,57.71,53.81,53.94,2671500,41.98711
2012-09-10,56.38,58.17,55.31,57.13,1605500,44.47022
2012-09-04,56.79,58.04,55.80,56.82,1831600,44.22891
2012-08-27,58.16,58.17,55.78,56.77,1744700,44.18999
2012-08-20,57.81,59.12,57.23,57.77,1080600,44.9684
2012-08-13,57.31,58.07,56.62,58.06,1023600,45.19413
2012-08-06,57.99,58.23,56.12,57.60,1896200,44.83607
2012-07-30,58.03,59.20,55.48,58.12,2798800,45.24084
2012-07-23,54.35,59.10,54.11,58.86,2566500,45.81686
2012-07-16,51.24,56.17,50.40,55.47,2282500,43.17807
2012-07-09,48.96,53.30,48.34,51.19,4201900,39.8465
2012-07-02,51.94,52.87,49.39,49.42,1022400,38.46872
2012-06-25,49.45,51.72,47.51,51.42,2484500,40.02553
2012-06-18,49.85,52.42,49.58,49.75,2790400,38.7256
2012-06-11,48.56,50.26,47.52,49.93,1705300,38.86571
2012-06-04,44.21,48.31,43.83,47.89,1662000,37.27776
2012-05-29,47.43,47.63,43.74,43.80,1755200,34.09409
2012-05-21,45.55,47.05,45.25,46.00,1301700,35.80658
2012-05-14,47.02,47.84,44.85,44.88,2143700,34.93477
2012-05-07,49.08,49.45,47.30,48.43,2220100,37.6981
2012-04-30,50.50,51.61,48.38,48.60,1374400,37.83043
2012-04-23,48.77,51.76,47.90,51.10,2523000,39.31485
2012-04-16,48.89,51.35,47.74,49.59,3456500,38.1531
2012-04-09,47.52,49.58,47.05,48.69,2186100,37.46066
2012-04-02,50.26,50.97,47.70,47.99,2041200,36.9221
2012-03-26,48.51,50.32,48.40,50.14,1670700,38.57625
2012-03-19,48.28,49.09,47.44,47.77,1583100,36.75284
2012-03-12,46.52,48.38,46.29,48.05,1235000,36.96827
2012-03-05,45.15,46.87,44.08,46.68,2191100,35.91423
2012-02-27,45.57,47.77,45.02,45.20,2555000,34.77556
2012-02-21,46.87,46.87,45.71,46.31,2577300,35.62956
2012-02-13,45.19,47.20,44.62,46.66,2670700,35.89884
2012-02-06,45.31,45.68,44.67,45.25,1960300,34.81403
2012-01-30,43.06,45.55,42.62,45.55,1629800,35.04484
2012-01-23,43.58,43.92,42.68,43.11,2031400,33.16758
2012-01-17,42.68,43.53,41.21,43.20,3580100,33.23682
2012-01-09,41.20,41.98,40.70,41.28,2183900,31.75963
2012-01-03,42.97,43.01,40.57,40.91,2297900,31.47496
2011-12-27,41.78,42.33,41.38,41.79,1010200,32.15201
2011-12-19,39.63,41.60,39.00,41.45,1773300,31.89042
2011-12-12,40.63,40.65,38.80,39.34,1883100,30.26705
2011-12-05,41.16,42.15,40.61,41.60,4103800,32.00583
2011-11-28,37.56,40.86,37.02,40.66,2982200,31.28262
2011-11-21,37.54,38.33,36.19,36.21,1644800,27.85892
2011-11-14,40.99,41.06,37.98,38.07,1768900,29.28995
2011-11-07,41.65,43.23,39.95,41.56,2362000,31.97505
2011-10-31,42.25,42.56,39.96,42.36,3322400,32.59055
2011-10-24,40.29,43.88,40.25,43.55,3337500,33.5061
2011-10-17,39.43,40.60,39.07,40.50,3696500,31.15952
2011-10-10,36.96,40.33,35.62,40.32,4728000,31.02103
2011-10-03,33.73,36.88,33.05,36.34,3202100,27.95893
2011-09-26,35.70,37.78,34.51,34.54,2424100,26.57407
2011-09-19,36.01,37.55,34.11,35.18,3646800,27.06647
2011-09-12,34.00,36.95,33.99,36.60,3860100,28.15897
2011-09-06,32.07,34.85,32.07,34.10,2013900,26.23554
2011-08-29,35.37,35.88,33.66,33.92,1956500,26.09706
2011-08-22,33.73,35.17,32.76,34.49,2270000,26.5356
2011-08-15,35.67,35.95,32.33,32.89,2632200,25.30461
2011-08-08,30.93,35.96,30.65,35.46,4802300,27.28189
2011-08-01,36.13,36.30,32.18,33.42,3786800,25.71237
2011-07-25,37.12,38.10,35.45,35.65,2872400,27.42807
2011-07-18,33.92,37.92,33.72,37.77,2852800,29.05914
2011-07-11,37.05,37.53,33.79,34.32,5436200,26.40481
2011-07-05,37.89,38.79,36.69,37.44,2081100,28.80524
2011-06-27,35.77,37.99,35.55,37.94,2076200,29.18993
2011-06-20,34.82,35.77,34.25,34.98,1510600,26.91259
2011-06-13,36.74,37.98,35.07,35.38,1843300,27.22034
2011-06-06,38.23,39.03,36.40,36.57,1727100,28.13589
2011-05-31,39.05,39.09,38.01,38.24,1434100,29.42074
2011-05-23,38.21,38.47,37.37,38.07,2732800,29.28995
2011-05-16,40.19,40.65,39.16,39.56,2490700,30.43631
2011-05-09,40.80,41.86,39.15,39.64,2531600,30.49786
2011-05-02,41.98,42.58,40.08,40.33,3076900,31.02872
2011-04-25,40.73,42.35,40.68,41.76,2891000,32.12892
2011-04-18,38.74,41.74,38.01,40.77,4239800,30.95478
2011-04-11,42.86,43.15,39.18,40.04,6250300,30.40053
2011-04-04,44.49,44.79,42.02,42.36,1827700,32.16199
2011-03-28,43.30,44.72,42.76,44.30,1617300,33.63495
2011-03-21,42.10,43.67,41.39,43.05,2112600,32.68588
2011-03-14,41.55,41.86,39.00,40.89,2079700,31.04589
2011-03-07,45.11,45.28,40.15,41.23,2536600,31.30404
2011-02-28,44.03,45.92,43.12,45.52,1729300,34.56124
2011-02-22,43.42,44.55,42.41,43.53,2503200,33.05032
2011-02-14,43.36,45.36,43.20,45.07,2155400,34.21957
2011-02-07,43.87,44.31,42.08,43.54,2504200,33.05791
2011-01-31,41.84,44.66,41.41,43.43,4435600,32.9744
2011-01-24,38.44,43.07,38.44,42.08,5207000,31.94941
2011-01-18,40.33,40.60,36.76,38.95,6309600,29.57294
2011-01-10,35.19,41.09,35.15,40.83,4111800,31.00034
2011-01-03,38.81,39.23,35.75,36.31,3070000,27.56851
2010-12-27,38.17,38.87,37.83,38.34,811300,29.10979
2010-12-20,38.12,38.32,37.74,37.86,1124200,28.74535
2010-12-13,37.37,38.26,36.50,38.22,2057700,29.01869
2010-12-06,35.34,37.99,34.56,37.40,3805900,28.3961
2010-11-29,33.42,35.67,31.99,35.58,2609400,27.01426
2010-11-22,34.20,34.89,33.47,34.59,2893000,26.26259
2010-11-15,32.37,34.70,31.56,34.69,2844700,26.33852
2010-11-08,33.40,34.39,31.79,32.27,3052600,24.50112
2010-11-01,33.52,34.85,33.05,34.20,2340500,25.96648
2010-10-25,33.12,33.99,32.24,33.16,2044100,25.17686
2010-10-18,32.81,33.14,31.78,32.36,2536800,24.56946
2010-10-11,29.91,32.90,29.78,32.81,3022500,24.91112
2010-10-04,30.62,30.63,29.15,29.50,2532100,22.39799
2010-09-27,29.47,30.85,28.99,29.92,1857200,22.71688
2010-09-20,28.71,29.61,28.19,29.41,2276900,22.32966
2010-09-13,27.37,28.61,27.36,28.52,1914800,21.65392
2010-09-07,26.54,26.85,25.76,26.48,1620100,20.10504
2010-08-30,25.69,27.14,24.64,26.91,2745500,20.43152
2010-08-23,27.98,28.23,25.16,26.05,3250000,19.77856
2010-08-16,27.93,29.21,27.88,28.22,2636000,21.42615
2010-08-09,32.11,32.41,27.88,28.06,4224700,21.30466
2010-08-02,32.82,33.24,31.73,32.06,2464900,24.34168
2010-07-26,31.70,32.85,31.50,32.19,2905100,24.44038
2010-07-19,31.07,32.11,30.38,32.11,3178700,24.37964
2010-07-12,29.70,32.45,29.66,30.92,4766400,23.47613
2010-07-06,29.22,30.31,28.36,30.31,3138900,23.01299
2010-06-28,29.30,29.63,27.23,28.08,2737700,21.31985
2010-06-21,31.37,31.41,29.08,29.64,2062000,22.50429
2010-06-14,30.55,31.17,30.01,30.91,2616700,23.46854
2010-06-07,28.12,29.70,26.99,29.44,2561400,22.35244
2010-06-01,28.25,29.90,27.78,27.96,2979500,21.22874
2010-05-24,28.37,28.96,26.67,28.26,3765700,21.45652
2010-05-17,30.05,30.41,27.36,28.90,4400000,21.94244
2010-05-10,31.73,32.08,29.33,29.92,2177000,22.71688
2010-05-03,32.71,33.47,28.18,29.61,3574600,22.48151
2010-04-26,35.71,35.94,32.59,32.66,2806800,24.79723
2010-04-19,34.40,36.08,34.33,35.64,2537700,27.05981
2010-04-12,36.29,36.34,34.20,34.60,2407500,26.27018
2010-04-05,35.80,36.10,34.74,35.96,1115300,27.30277
2010-03-29,35.42,36.10,34.78,35.65,1717300,27.0674
2010-03-22,33.13,35.70,33.10,35.31,2162100,26.80926
2010-03-15,33.91,34.76,33.21,33.62,1578900,25.32048
2010-03-08,34.10,34.66,33.81,34.44,2056600,25.93806
2010-03-01,30.93,33.82,30.93,33.81,3298500,25.46358
2010-02-22,32.18,32.23,29.81,30.83,2206400,23.21923
2010-02-16,31.34,32.23,31.18,31.80,1677700,23.94977
2010-02-08,30.63,32.03,30.36,31.45,2275600,23.68618
2010-02-01,31.58,32.92,30.11,31.08,2862100,23.40751
2010-01-25,32.39,33.11,30.99,31.25,3062400,23.53555
2010-01-19,32.35,33.83,31.51,31.73,4060200,23.89705
2010-01-11,33.12,33.92,32.50,32.73,3032300,24.65019
2010-01-04,34.79,35.39,33.30,33.45,2238900,25.19245
