"Week","Monthly mean discharge in cubic mters per second for the period of record,Niagra River at Queenston, 1860-1990"
"1893-W38",5720
"1893-W42",5720
"1893-W46",5720
"1893-W50",5730
"1894-W02",5610
"1894-W06",5380
"1894-W10",5520
"1894-W14",5610
"1894-W18",5950
"1894-W22",6230
"1894-W26",6000
"1894-W30",5720
"1894-W34",5660
"1894-W38",5690
"1894-W42",5640
"1894-W46",5490
"1894-W50",5710
"1895-W02",5350
"1895-W06",4870
"1895-W10",4930
"1895-W14",5010
"1895-W18",5320
"1895-W22",5320
"1895-W26",5180
"1895-W30",5130
"1895-W34",5180
"1895-W38",5070
"1895-W42",4810
"1895-W46",5040
"1895-W50",5100
"1896-W02",4980
"1896-W06",4870
"1896-W10",4790
"1896-W14",5070
"1896-W18",5440
"1896-W22",5380
"1896-W26",5380
"1896-W30",5550
"1896-W34",5320
"1896-W38",5180
"1896-W42",5270
"1896-W46",5150
"1896-W50",5200
"1897-W02",5270
"1897-W06",4980
"1897-W10",5380
"1897-W14",5660
"1897-W18",6030
"1897-W22",5950
"1897-W26",5830
"1897-W30",5780
"1897-W34",5610
"1897-W38",5350
"1897-W42",5410
"1897-W46",5410
"1897-W50",5560
"1898-W02",5350
"1898-W06",5300
"1898-W10",5640
"1898-W14",5970
"1898-W18",6140
"1898-W22",6120
"1898-W26",5860
"1898-W30",5830
"1898-W34",5660
"1898-W38",5640
"1898-W42",5660
"1898-W46",5720
"1898-W50",5740
"1899-W02",5610
"1899-W06",5180
"1899-W10",5520
"1899-W14",5580
"1899-W18",5860
"1899-W22",5920
"1899-W26",5780
"1899-W30",5550
"1899-W34",5490
"1899-W38",5270
"1899-W42",5350
"1899-W46",5610
"1899-W50",5560
"1900-W02",5380
"1900-W06",5300
"1900-W10",5490
"1900-W14",5660
"1900-W18",5860
"1900-W22",5860
"1900-W26",5750
"1900-W30",5720
"1900-W34",5610
"1900-W38",5380
"1900-W42",5550
"1900-W46",5520
"1900-W50",5590
"1901-W02",5380
"1901-W06",4870
"1901-W10",4900
"1901-W14",4980
"1901-W18",5150
"1901-W22",5410
"1901-W26",5410
"1901-W30",5320
"1901-W34",5380
"1901-W38",5300
"1901-W42",5270
"1901-W46",5270
"1901-W50",5220
"1902-W02",5180
"1902-W06",4760
"1902-W10",4960
"1902-W14",5300
"1902-W18",5520
"1902-W22",5640
"1902-W26",5950
"1902-W30",5920
"1902-W34",5750
"1902-W38",5830
"1902-W42",5720
"1902-W46",5660
"1902-W50",5520
"1903-W02",5580
"1903-W06",5350
"1903-W10",5690
"1903-W14",6120
"1903-W18",6230
"1903-W22",6230
"1903-W26",6120
"1903-W30",5950
"1903-W34",5920
"1903-W38",5830
"1903-W42",5660
"1903-W46",5660
"1903-W50",5860
"1904-W02",4980
"1904-W06",5100
"1904-W10",5520
"1904-W14",6140
"1904-W18",6460
"1904-W22",6570
"1904-W26",6400
"1904-W30",6230
"1904-W34",6090
"1904-W38",5970
"1904-W42",5830
"1904-W46",5750
"1904-W50",5920
"1905-W02",5380
"1905-W06",5070
"1905-W10",5210
"1905-W14",5470
"1905-W18",5920
"1905-W22",6230
"1905-W26",6310
"1905-W30",6200
"1905-W34",6120
"1905-W38",6030
"1905-W42",5800
"1905-W46",5920
"1905-W50",5810
"1906-W02",5780
"1906-W06",5490
"1906-W10",5440
"1906-W14",5640
"1906-W18",5860
"1906-W22",5950
"1906-W26",5950
"1906-W30",5890
"1906-W34",5750
"1906-W38",5780
"1906-W42",5860
"1906-W46",5970
"1906-W50",5780
"1907-W02",6170
"1907-W06",5830
"1907-W10",5780
"1907-W14",5970
"1907-W18",6200
"1907-W22",6310
"1907-W26",6430
"1907-W30",6170
"1907-W34",6120
"1907-W38",6060
"1907-W42",6030
"1907-W46",6060
"1907-W50",6100
"1908-W02",6090
"1908-W06",5720
"1908-W10",5950
"1908-W14",6340
"1908-W18",6570
"1908-W22",6480
"1908-W26",6340
"1908-W30",6230
"1908-W34",5970
"1908-W38",5690
"1908-W42",5690
"1908-W46",5640
"1908-W50",6060
"1909-W02",5240
"1909-W06",5270
"1909-W10",5470
"1909-W14",5610
"1909-W18",6200
"1909-W22",6260
"1909-W26",6200
"1909-W30",5970
"1909-W34",5750
"1909-W38",5580
"1909-W42",5440
"1909-W46",5720
"1909-W50",5730
"1910-W02",5150
"1910-W06",4930
"1910-W10",5350
"1910-W14",5550
"1910-W18",6000
"1910-W22",5950
"1910-W26",5800
"1910-W30",5640
"1910-W34",5440
"1910-W38",5580
"1910-W42",5520
"1910-W46",5350
"1910-W50",5530
"1911-W02",5100
"1911-W06",4870
"1911-W10",5040
"1911-W14",5150
"1911-W18",5550
"1911-W22",5520
"1911-W26",5410
"1911-W30",5240
"1911-W34",5130
"1911-W38",5240
"1911-W42",5550
"1911-W46",5440
"1911-W50",5270
"1912-W02",5270
"1912-W06",4870
"1912-W10",4980
"1912-W14",5640
"1912-W18",5970
"1912-W22",5950
"1912-W26",5780
"1912-W30",5830
"1912-W34",5860
"1912-W38",5750
"1912-W42",5860
"1912-W46",5800
"1912-W50",5630
"1913-W02",5780
"1913-W06",5920
"1913-W10",5860
"1913-W14",6710
"1913-W18",6820
"1913-W22",6680
"1913-W26",6480
"1913-W30",6200
"1913-W34",5860
"1913-W38",5780
"1913-W42",5920
"1913-W46",5860
"1913-W50",6160
"1914-W02",5610
"1914-W06",5410
"1914-W10",5210
"1914-W14",5640
"1914-W18",6140
"1914-W22",6170
"1914-W26",5950
"1914-W30",5800
"1914-W34",5690
"1914-W38",5550
"1914-W42",5610
"1914-W46",5320
"1914-W50",5680
"1915-W02",4980
"1915-W06",4980
"1915-W10",5180
"1915-W14",5070
"1915-W18",5350
"1915-W22",5410
"1915-W26",5490
"1915-W30",5660
"1915-W34",5640
"1915-W38",5640
"1915-W42",5610
"1915-W46",5410
"1915-W50",5370
"1916-W02",5610
"1916-W06",5610
"1916-W10",5440
"1916-W14",5800
"1916-W18",6200
"1916-W22",6340
"1916-W26",6200
"1916-W30",6000
"1916-W34",5830
"1916-W38",5690
"1916-W42",5580
"1916-W46",5580
"1916-W50",5820
"1917-W02",5380
"1917-W06",5100
"1917-W10",5380
"1917-W14",5800
"1917-W18",6230
"1917-W22",6540
"1917-W26",6650
"1917-W30",6510
"1917-W34",6290
"1917-W38",6290
"1917-W42",6260
"1917-W46",6140
"1917-W50",6050
"1918-W02",5520
"1918-W06",5270
"1918-W10",5690
"1918-W14",5550
"1918-W18",5720
"1918-W22",5830
"1918-W26",5780
"1918-W30",5720
"1918-W34",5800
"1918-W38",5690
"1918-W42",5860
"1918-W46",5690
"1918-W50",5680
"1919-W02",5860
"1919-W06",5640
"1919-W10",5780
"1919-W14",6090
"1919-W18",6540
"1919-W22",6510
"1919-W26",6260
"1919-W30",6170
"1919-W34",5970
"1919-W38",5780
"1919-W42",5860
"1919-W46",5660
"1919-W50",6010
"1920-W02",5040
"1920-W06",4670
"1920-W10",4840
"1920-W14",5150
"1920-W18",5660
"1920-W22",5750
"1920-W26",5780
"1920-W30",5720
"1920-W34",5660
"1920-W38",5610
"1920-W42",5610
"1920-W46",5800
"1920-W50",5440
"1921-W02",5520
"1921-W06",5320
"1921-W10",5520
"1921-W14",5860
"1921-W18",6120
"1921-W22",6000
"1921-W26",5920
"1921-W30",5640
"1921-W34",5580
"1921-W38",5380
"1921-W42",5270
"1921-W46",5660
"1921-W50",5650
"1922-W02",5270
"1922-W06",4900
"1922-W10",5010
"1922-W14",5750
"1922-W18",5920
"1922-W22",5970
"1922-W26",5780
"1922-W30",5660
"1922-W34",5550
"1922-W38",5440
"1922-W42",5350
"1922-W46",5130
"1922-W50",5480
"1923-W02",4930
"1923-W06",4730
"1923-W10",4930
"1923-W14",5130
"1923-W18",5410
"1923-W22",5520
"1923-W26",5300
"1923-W30",5210
"1923-W34",5070
"1923-W38",4980
"1923-W42",4930
"1923-W46",5210
"1923-W50",5120
"1924-W02",5470
"1924-W06",4900
"1924-W10",4980
"1924-W14",5270
"1924-W18",5690
"1924-W22",5660
"1924-W26",5660
"1924-W30",5490
"1924-W34",5380
"1924-W38",5350
"1924-W42",5300
"1924-W46",5180
"1924-W50",5360
"1925-W02",4590
"1925-W06",4500
"1925-W10",4840
"1925-W14",4930
"1925-W18",5130
"1925-W22",5040
"1925-W26",4930
"1925-W30",4840
"1925-W34",4790
"1925-W38",4810
"1925-W42",4930
"1925-W46",4900
"1925-W50",4850
"1926-W02",4150
"1926-W06",3990
"1926-W10",4400
"1926-W14",4760
"1926-W18",4740
"1926-W22",5110
"1926-W26",4950
"1926-W30",4900
"1926-W34",4950
"1926-W38",5350
"1926-W42",5570
"1926-W46",5270
"1926-W50",4850
"1927-W02",4920
"1927-W06",4840
"1927-W10",4940
"1927-W14",5220
"1927-W18",5510
"1927-W22",5610
"1927-W26",5510
"1927-W30",5390
"1927-W34",5270
"1927-W38",5110
"1927-W42",5140
"1927-W46",5740
"1927-W50",5270
"1928-W02",5470
"1928-W06",5100
"1928-W10",5160
"1928-W14",5270
"1928-W18",5490
"1928-W22",5830
"1928-W26",5900
"1928-W30",5740
"1928-W34",5600
"1928-W38",5500
"1928-W42",5610
"1928-W46",5670
"1928-W50",5530
"1929-W02",5460
"1929-W06",5360
"1929-W10",5810
"1929-W14",6420
"1929-W18",7040
"1929-W22",6910
"1929-W26",6820
"1929-W30",6550
"1929-W34",6280
"1929-W38",6090
"1929-W42",6340
"1929-W46",6110
"1929-W50",6270
"1930-W02",6300
"1930-W06",6090
"1930-W10",6410
"1930-W14",6210
"1930-W18",6680
"1930-W22",6640
"1930-W26",6380
"1930-W30",6040
"1930-W34",5940
"1930-W38",5710
"1930-W42",5620
"1930-W46",5500
"1930-W50",6130
"1931-W02",5250
"1931-W06",4950
"1931-W10",4810
"1931-W14",5060
"1931-W18",5200
"1931-W22",5180
"1931-W26",5170
"1931-W30",5080
"1931-W34",5000
"1931-W38",4900
"1931-W42",4890
"1931-W46",4930
"1931-W50",5040
"1932-W02",5380
"1932-W06",5480
"1932-W10",5230
"1932-W14",5250
"1932-W18",5400
"1932-W22",5370
"1932-W26",5300
"1932-W30",5090
"1932-W34",4890
"1932-W38",4790
"1932-W42",4720
"1932-W46",4820
"1932-W50",5140
"1933-W02",4940
"1933-W06",4660
"1933-W10",4590
"1933-W14",4850
"1933-W18",5520
"1933-W22",5500
"1933-W26",5180
"1933-W30",4980
"1933-W34",4820
"1933-W38",4710
"1933-W42",4610
"1933-W46",4500
"1933-W50",4910
"1934-W02",4420
"1934-W06",4020
"1934-W10",4130
"1934-W14",4480
"1934-W18",4530
"1934-W22",4470
"1934-W26",4360
"1934-W30",4370
"1934-W34",4340
"1934-W38",4320
"1934-W42",4190
"1934-W46",4290
"1934-W50",4330
"1935-W02",4200
"1935-W06",4080
"1935-W10",4270
"1935-W14",4380
"1935-W18",4640
"1935-W22",4730
"1935-W26",4660
"1935-W30",4750
"1935-W34",4590
"1935-W38",4470
"1935-W42",4410
"1935-W46",4420
"1935-W50",4470
"1936-W02",4020
"1936-W06",3320
"1936-W10",4450
"1936-W14",4860
"1936-W18",4880
"1936-W22",4970
"1936-W26",4800
"1936-W30",4650
"1936-W34",4550
"1936-W38",4670
"1936-W42",4750
"1936-W46",4500
"1936-W50",4540
"1937-W02",5000
"1937-W06",5240
"1937-W10",5050
"1937-W14",5290
"1937-W18",5650
"1937-W22",5690
"1937-W26",5850
"1937-W30",5620
"1937-W34",5350
"1937-W38",5120
"1937-W42",5070
"1937-W46",4920
"1937-W50",5320
"1938-W02",4480
"1938-W06",4590
"1938-W10",5060
"1938-W14",5470
"1938-W18",5560
"1938-W22",5510
"1938-W26",5460
"1938-W30",5570
"1938-W34",5330
"1938-W38",5160
"1938-W42",5210
"1938-W46",5190
"1938-W50",5220
"1939-W02",4850
"1939-W06",4740
"1939-W10",5070
"1939-W14",5240
"1939-W18",5600
"1939-W22",5670
"1939-W26",5520
"1939-W30",5520
"1939-W34",5280
"1939-W38",5230
"1939-W42",5060
"1939-W46",5170
"1939-W50",5250
"1940-W02",4620
"1940-W06",4530
"1940-W10",4750
"1940-W14",5260
"1940-W18",5370
"1940-W22",5640
"1940-W26",5520
"1940-W30",5280
"1940-W34",5350
"1940-W38",5140
"1940-W42",5270
"1940-W46",5300
"1940-W50",5170
"1941-W02",5260
"1941-W06",5140
"1941-W10",5000
"1941-W14",5080
"1941-W18",5140
"1941-W22",5120
"1941-W26",5080
"1941-W30",5000
"1941-W34",4920
"1941-W38",4830
"1941-W42",5010
"1941-W46",4850
"1941-W50",5040
"1942-W02",4570
"1942-W06",4560
"1942-W10",4950
"1942-W14",5340
"1942-W18",5610
"1942-W22",5680
"1942-W26",5620
"1942-W30",5630
"1942-W34",5570
"1942-W38",5460
"1942-W42",5600
"1942-W46",5630
"1942-W50",5360
"1943-W02",5250
"1943-W06",5440
"1943-W10",5540
"1943-W14",5580
"1943-W18",6290
"1943-W22",6730
"1943-W26",6570
"1943-W30",6480
"1943-W34",6250
"1943-W38",5950
"1943-W42",6010
"1943-W46",5900
"1943-W50",6000
"1944-W02",5400
"1944-W06",5310
"1944-W10",5430
"1944-W14",5810
"1944-W18",6190
"1944-W22",6260
"1944-W26",6050
"1944-W30",5850
"1944-W34",5750
"1944-W38",5570
"1944-W42",5420
"1944-W46",5530
"1944-W50",5720
"1945-W02",4990
"1945-W06",5110
"1945-W10",5640
"1945-W14",5900
"1945-W18",6180
"1945-W22",6220
"1945-W26",6180
"1945-W30",6150
"1945-W34",6010
"1945-W38",6360
"1945-W42",6120
"1945-W46",6070
"1945-W50",5920
"1946-W02",5870
"1946-W06",5530
"1946-W10",5750
"1946-W14",5910
"1946-W18",5910
"1946-W22",6130
"1946-W26",6050
"1946-W30",5990
"1946-W34",5700
"1946-W38",5550
"1946-W42",5630
"1946-W46",5600
"1946-W50",5800
"1947-W02",5370
"1947-W06",5060
"1947-W10",5330
"1947-W14",5290
"1947-W18",6300
"1947-W22",6900
"1947-W26",6620
"1947-W30",6350
"1947-W34",6270
"1947-W38",5900
"1947-W42",5950
"1947-W46",5930
"1947-W50",5940
"1948-W02",5520
"1948-W06",5490
"1948-W10",5870
"1948-W14",6320
"1948-W18",6580
"1948-W22",6480
"1948-W26",6290
"1948-W30",6130
"1948-W34",5840
"1948-W38",5660
"1948-W42",5720
"1948-W46",5590
"1948-W50",5960
"1949-W02",5710
"1949-W06",5780
"1949-W10",5740
"1949-W14",5810
"1949-W18",5790
"1949-W22",5640
"1949-W26",5540
"1949-W30",5410
"1949-W34",5390
"1949-W38",5140
"1949-W42",5110
"1949-W46",5120
"1949-W50",5510
"1950-W02",5580
"1950-W06",5680
"1950-W10",5740
"1950-W14",5980
"1950-W18",6210
"1950-W22",6130
"1950-W26",5860
"1950-W30",5660
"1950-W34",5590
"1950-W38",5530
"1950-W42",5670
"1950-W46",5880
"1950-W50",5790
"1951-W02",5830
"1951-W06",5710
"1951-W10",5880
"1951-W14",6470
"1951-W18",6580
"1951-W22",6470
"1951-W26",6290
"1951-W30",6110
"1951-W34",6000
"1951-W38",5890
"1951-W42",6020
"1951-W46",6170
"1951-W50",6120
"1952-W02",6490
"1952-W06",6610
"1952-W10",6790
"1952-W14",7040
"1952-W18",7130
"1952-W22",6860
"1952-W26",6610
"1952-W30",6510
"1952-W34",6470
"1952-W38",6220
"1952-W42",6030
"1952-W46",6100
"1952-W50",6570
"1953-W02",6060
"1953-W06",6260
"1953-W10",6290
"1953-W14",6360
"1953-W18",6390
"1953-W22",6350
"1953-W26",6280
"1953-W30",6250
"1953-W34",6120
"1953-W38",5810
"1953-W42",5810
"1953-W46",6060
"1953-W50",6170
"1954-W02",5590
"1954-W06",5540
"1954-W10",5990
"1954-W14",6370
"1954-W18",6510
"1954-W22",6270
"1954-W26",6040
"1954-W30",6080
"1954-W34",5970
"1954-W38",6240
"1954-W42",6340
"1954-W46",6340
"1954-W50",6110
"1955-W02",6450
"1955-W06",6160
"1955-W10",6580
"1955-W14",6760
"1955-W18",6730
"1955-W22",6460
"1955-W26",6180
"1955-W30",6120
"1955-W34",5860
"1955-W38",5940
"1955-W42",6070
"1955-W46",5800
"1955-W50",6260
"1956-W02",5260
"1956-W06",5170
"1956-W10",5450
"1956-W14",5790
"1956-W18",6300
"1956-W22",6180
"1956-W26",6020
"1956-W30",6080
"1956-W34",6050
"1956-W38",5630
"1956-W42",5640
"1956-W46",5520
"1956-W50",5760
"1957-W02",5460
"1957-W06",5280
"1957-W10",5350
"1957-W14",5850
"1957-W18",5930
"1957-W22",5880
"1957-W26",6010
"1957-W30",5710
"1957-W34",5630
"1957-W38",5320
"1957-W42",5500
"1957-W46",5480
"1957-W50",5620
"1958-W02",5400
"1958-W06",5000
"1958-W10",5090
"1958-W14",5160
"1958-W18",5180
"1958-W22",5180
"1958-W26",5260
"1958-W30",5250
"1958-W34",5190
"1958-W38",5030
"1958-W42",5080
"1958-W46",4880
"1958-W50",5140
"1959-W02",4710
"1959-W06",4860
"1959-W10",5220
"1959-W14",5400
"1959-W18",5600
"1959-W22",5580
"1959-W26",5310
"1959-W30",5130
"1959-W34",4950
"1959-W38",5060
"1959-W42",5220
"1959-W46",5210
"1959-W50",5190
"1960-W02",5510
"1960-W06",5450
"1960-W10",5280
"1960-W14",5570
"1960-W18",5930
"1960-W22",6030
"1960-W26",5940
"1960-W30",5740
"1960-W34",5670
"1960-W38",5530
"1960-W42",5640
"1960-W46",5480
"1960-W50",5650
"1961-W02",5120
"1961-W06",5180
"1961-W10",5460
"1961-W14",5920
"1961-W18",6390
"1961-W22",6250
"1961-W26",6010
"1961-W30",5880
"1961-W34",5820
"1961-W38",5520
"1961-W42",5380
"1961-W46",5460
"1961-W50",5700
"1962-W02",5000
"1962-W06",4850
"1962-W10",5270
"1962-W14",5390
"1962-W18",5530
"1962-W22",5310
"1962-W26",5190
"1962-W30",5130
"1962-W34",5050
"1962-W38",5070
"1962-W42",4860
"1962-W46",5180
"1962-W50",5150
"1963-W02",4710
"1963-W06",4440
"1963-W10",4990
"1963-W14",5090
"1963-W18",5280
"1963-W22",5270
"1963-W26",5010
"1963-W30",4900
"1963-W34",4550
"1963-W38",4440
"1963-W42",4580
"1963-W46",4630
"1963-W50",4830
"1964-W02",3960
"1964-W06",3980
"1964-W10",4620
"1964-W14",4920
"1964-W18",5190
"1964-W22",5060
"1964-W26",4800
"1964-W30",4700
"1964-W34",4590
"1964-W38",4490
"1964-W42",4330
"1964-W46",4270
"1964-W50",4580
"1965-W02",4360
"1965-W06",4570
"1965-W10",4820
"1965-W14",4910
"1965-W18",5110
"1965-W22",5200
"1965-W26",4990
"1965-W30",4840
"1965-W34",4810
"1965-W38",4940
"1965-W42",4980
"1965-W46",4920
"1965-W50",4870
"1966-W02",4980
"1966-W06",5060
"1966-W10",5250
"1966-W14",5290
"1966-W18",5630
"1966-W22",5570
"1966-W26",5440
"1966-W30",5370
"1966-W34",5180
"1966-W38",5050
"1966-W42",4960
"1966-W46",5430
